Team,Roster
Boston Celtics,Jaylen Brown;Torrey Craig;Luka Garza;Hugo Gonzalez;Sam Hauser;Al Horford;Josh Minott;Georges Niang;Miles Norris;Payton Pritchard;Neemias Queta;Baylor Scheierman;Max Shulga;Anfernee Simons;Jayson Tatum;Xavier Tillman;Jordan Walsh;Derrick White;Amari Williams
Brooklyn Nets,Nic Claxton;Noah Clowney;Egor Demin;Tyson Etienne;Tosan Evbuomwan;Killian Hayes;Keon Johnson;Terance Mann;Tyrese Martin;De'Anthony Melton;Michael Porter Jr.;Drake Powell;Ben Saraf;Day'Ron Sharpe;Cam Thomas;Drew Timme;Nolan Traore;Dariq Whitehead;Ziaire Williams;Jalen Wilson;Danny Wolf
New York Knicks,Precious Achiuwa;OG Anunoby;MarJon Beauchamp;Mikal Bridges;Jalen Brunson;Jordan Clarkson;Pacome Dadiet;Mohamed Diawara;Josh Hart;Ariel Hukporti;Tyler Kolek;Miles McBride;Kevin McCullar Jr.;Cameron Payne;Mitchell Robinson;Landry Shamet;Karl-Anthony Towns;P.J. Tucker;Anton Watson;Delon Wright;Guerschon Yabusele
Philadelphia 76ers,Marcus Bagley;Dominick Barlow;Adem Bona;Oshae Brissett;Johni Broome;Jeff Dowtin Jr.;Andre Drummond;VJ Edgecombe;Justin Edwards;Joel Embiid;Paul George;Eric Gordon;Quentin Grimes;Jalen Hood-Schifino;Kyle Lowry;Tyrese Maxey;Jared McCain;Igor Milicic Jr.;Kelly Oubre Jr.;Hunter Sallis;Jabari Walker
Toronto Raptors,Ochai Agbaji;Scottie Barnes;RJ Barrett;Jamison Battle;Chris Boucher;Ulrich Chomche;Gradey Dick;Chucky Hepburn;Brandon Ingram;A.J. Lawson;Sandro Mamukelashvili;Alijah Martin;Jonathan Mogbo;Collin Murray-Boyles;Eugene Omoruyi;Jakob Poeltl;Immanuel Quickley;Jamal Shead;Garrett Temple;Ja'Kobe Walter
Chicago Bulls,Matas Buzelis;Jevon Carter;Zach Collins;Ayo Dosunmu;Noa Essengue;Josh Giddey;Talen Horton-Tucker;Kevin Huerter;Tre Jones;Yuki Kawamura;Emanuel Miller;Isaac Okoro;Lachlan Olbrich;Julian Phillips;Jalen Smith;Dalen Terry;Nikola Vucevic;Coby White;Patrick Williams;Jahmir Young
Cleveland Cavaliers,Jarrett Allen;Lonzo Ball;Emoni Bates;Darius Garland;Javonte Green;De'Andre Hunter;Sam Merrill;Donovan Mitchell;Evan Mobley;Larry Nance Jr.;Saliou Niang;Chuma Okeke;Craig Porter Jr.;Tyrese Proctor;Max Strus;Tristan Thompson;Nae'Qwan Tomlin;Luke Travers;Jaylon Tyson;Dean Wade
Detroit Pistons,Malik Beasley;Cade Cunningham;Jalen Duren;Tobias Harris;Ronald Holland II;Jaden Ivey;Daniss Jenkins;Colby Jones;Bobi Klintman;Chaz Lanier;Caris LeVert;Paul Reed;Duncan Robinson;Marcus Sasser;Tolu Smith;Isaiah Stewart;Ausar Thompson
Indiana Pacers,Tony Bradley;Thomas Bryant;RayJ Dennis;Johnny Furphy;Tyrese Haliburton;Jay Huff;Isaiah Jackson;Quenton Jackson;James Johnson;Kam Jones;Bennedict Mathurin;T.J. McConnell;Andrew Nembhard;Aaron Nesmith;Taelon Peter;Ben Sheppard;Pascal Siakam;Obi Toppin;Jarace Walker
Milwaukee Bucks,Giannis Antetokounmpo;Cole Anthony;Jamaree Bouyea;AJ Green;Gary Harris;Andre Jackson Jr.;Kyle Kuzma;Chris Livingston;Bogoljub Markovic;Vasilije Micic;Pete Nance;Kevin Porter Jr.;Bobby Portis;Taurean Prince;Ryan Rollins;Mark Sears;Jericho Sims;Tyler Smith;Gary Trent Jr.;Myles Turner;Stanley Umude
Atlanta Hawks,Nickeil Alexander-Walker;Kobe Bufkin;Dyson Daniels;Nikola Djurisic;Mouhamed Gueye;Jalen Johnson;Luke Kennard;Vit Krejci;Garrison Mathews;Eli John N'Diaye;Asa Newell;Onyeka Okongwu;Kristaps Porzingis;Zaccharie Risacher;Jacob Toppin;Keaton Wallace;Trae Young
Charlotte Hornets,LaMelo Ball;Miles Bridges;Pat Connaughton;Seth Curry;Moussa Diabate;Spencer Dinwiddie;Marcus Garrett;Taj Gibson;Josh Green;Sion James;DaQuan Jeffries;Ryan Kalkbrenner;Kon Knueppel;Tre Mann;Liam McNeeley;Brandon Miller;Drew Peterson;Mason Plumlee;Antonio Reeves;Tidjane Salaun;KJ Simpson;Jaylen Sims;Nick Smith Jr.;Grant Williams
Miami Heat,Bam Adebayo;Alec Burks;Simone Fontecchio;Myron Gardner;Vladislav Goldin;Tyler Herro;Haywood Highsmith;Kasparas Jakucionis;Jaime Jaquez Jr.;Keshad Johnson;Nikola Jovic;Pelle Larsson;Davion Mitchell;Norman Powell;Terry Rozier;Dru Smith;Kel'el Ware;Andrew Wiggins
Orlando Magic,Paolo Banchero;Desmond Bane;Goga Bitadze;Anthony Black;Wendell Carter Jr.;Tristan da Silva;Caleb Houstan;Jett Howard;Jonathan Isaac;Tyus Jones;Cory Joseph;Mac McClung;Noah Penda;Trevelin Queen;Jase Richardson;Jalen Suggs;Ethan Thompson;Franz Wagner;Moritz Wagner
Washington Wizards,Marvin Bagley III;Malaki Branham;Malcolm Brogdon;Bub Carrington;Justin Champagnie;Bilal Coulibaly;Kyshawn George;Keshon Gilbert;Richaun Holmes;AJ Johnson;Tre Johnson;Dillon Jones;Corey Kispert;CJ McCollum;Khris Middleton;Will Riley;Cam Whitmore
Golden State Warriors,Taran Armstrong;Jimmy Butler III;Stephen Curry;Draymond Green;Buddy Hield;Trayce Jackson-Davis;Braxton Key;Kevin Knox II;Jonathan Kuminga;Moses Moody;Gary Payton II;Brandin Podziemski;Quinten Post;Will Richard;Jackson Rowe;Gui Santos;Pat Spencer;Alex Toohey
LA Clippers,Nicolas Batum;Bradley Beal;Bogdan Bogdanovic;Kobe Brown;Cam Christie;Amir Coffey;John Collins;Kris Dunn;Trentyn Flowers;James Harden;Derrick Jones Jr.;Yanic Konan Niederhauser;Kawhi Leonard;Brook Lopez;Patty Mills;Chris Paul;Kobe Sanders;Ben Simmons;TyTy Washington Jr.;Ivica Zubac
Los Angeles Lakers,Deandre Ayton;RJ Davis;Eric Dixon;Luka Doncic;Rui Hachimura;Jaxson Hayes;Bronny James;LeBron James;Arthur Kaluma;Maxi Kleber;Dalton Knecht;Christian Koloko;Jake LaRavia;Alex Len;Chris Manon;Augustas Marciulionis;Markieff Morris;Austin Reaves;Marcus Smart;Ethan Taylor;Adou Thiero;Jarred Vanderbilt;Gabe Vincent
Phoenix Suns,Grayson Allen;Bol Bol;Devin Booker;Koby Brea;Dillon Brooks;Jared Butler;Ryan Dunn;Rasheer Fleming;Collin Gillespie;Jordan Goodwin;Jalen Green;Nigel Hayes;CJ Huntley;Oso Ighodaro;Damion Lee;Isaiah Livers;Khaman Maluach;Monte Morris;Royce O'Neale;Nick Richards;Mark Williams
Sacramento Kings,Dylan Cardwell;Devin Carter;Nique Clifford;Jae Crowder;Terence Davis;DeMar DeRozan;Keon Ellis;Drew Eubanks;Markelle Fultz;Isaac Jones;Mason Jones;Zach LaVine;Trey Lyles;Doug McDermott;Malik Monk;Keegan Murray;Daeqwon Plowden;Maxime Raynaud;Domantas Sabonis;Dario Saric;Dennis Schroder;Isaiah Stevens;Terry Taylor
Dallas Mavericks,Max Christie;Moussa Cisse;Matthew Cleveland;Anthony Davis;Kessler Edwards;Dante Exum;Cooper Flagg;Daniel Gafford;Jaden Hardy;Kyrie Irving;Kai Jones;Miles Kelly;Dereck Lively II;Naji Marshall;Caleb Martin;Dwight Powell;Olivier-Maxence Prosper;D'Angelo Russell;Klay Thompson;P.J. Washington;Brandon Williams
Houston Rockets,Steven Adams;Clint Capela;Isaiah Crawford;N'Faly Dante;JD Davison;Kevin Durant;Tari Eason;Dorian Finney-Smith;Jeff Green;Kevon Harris;Aaron Holiday;Josh Okogie;Alperen Sengun;Reed Sheppard;Jabari Smith Jr.;Jae'Sean Tate;Amen Thompson;Fred VanVleet
Memphis Grizzlies,Santi Aldama;Kentavious Caldwell-Pope;Brandon Clarke;Cedric Coward;Zach Edey;PJ Hall;GG Jackson;Jaren Jackson Jr.;Ty Jerome;John Konchar;Jock Landale;Jahmai Mashack;Ja Morant;Scotty Pippen Jr.;Javon Small;Cam Spencer;Lamar Stevens;Jaylen Wells;Vince Williams Jr.
New Orleans Pelicans,Trey Alexander;Jose Alvarado;Saddiq Bey;Brandon Boston;Keion Brooks Jr.;Jamal Cain;Hunter Dickinson;Jeremiah Fears;Jordan Hawkins;Herbert Jones;Kylor Kelley;Kevon Looney;Karlo Matkovic;Yves Missi;Trey Murphy III;Dejounte Murray;Elfrid Payton;Micah Peavy;Jordan Poole;Derik Queen;Jeremiah Robinson-Earl;Zion Williamson
San Antonio Spurs,Harrison Barnes;Bismack Biyombo;Carter Bryant;Stephon Castle;Julian Champagnie;David Duke Jr.;De'Aaron Fox;Dylan Harper;Harrison Ingram;Keldon Johnson;Luke Kornet;Jordan McLaughlin;Riley Minix;Kelly Olynyk;Jeremy Sochan;Devin Vassell;Lindy Waters III;Victor Wembanyama
Denver Nuggets,Tamar Bates;Christian Braun;Bruce Brown;Vlatko Cancar;Aaron Gordon;Tim Hardaway Jr.;DaRon Holmes II;Cameron Johnson;Nikola Jokic;Curtis Jones;Spencer Jones;DeAndre Jordan;Jamal Murray;Zeke Nnaji;Jalen Pickett;Julian Strawther;Hunter Tyson;Jonas Valanciunas;Peyton Watson;Russell Westbrook
Minnesota Timberwolves,Joan Beringer;Jaylen Clark;Mike Conley;Donte DiVincenzo;Rob Dillingham;Anthony Edwards;Jesse Edwards;Enrique Freeman;Rudy Gobert;Bones Hyland;Joe Ingles;Jaden McDaniels;Leonard Miller;Tristen Newton;Julius Randle;Naz Reid;Terrence Shannon Jr.;Rocco Zikarsky
Oklahoma City Thunder,Brooks Barnhizer;Branden Carlson;Alex Caruso;Ousmane Dieng;Luguentz Dort;Alex Ducas;Shai Gilgeous-Alexander;Isaiah Hartenstein;Chet Holmgren;Isaiah Joe;Ajay Mitchell;Thomas Sorber;Nikola Topic;Cason Wallace;Aaron Wiggins;Jalen Williams;Jaylin Williams;Kenrich Williams
Portland Trail Blazers,Deni Avdija;Dalano Banton;Toumani Camara;Andrew Carr;Sidy Cissoko;Donovan Clingan;Jerami Grant;Yang Hansen;Scoot Henderson;Jrue Holiday;Damian Lillard;Caleb Love;Bryce McGowens;Justin Minaya;Kris Murray;Duop Reath;Rayan Rupert;Shaedon Sharpe;Matisse Thybulle;Robert Williams III
Utah Jazz,Kyle Anderson;Ace Bailey;Walter Clayton Jr.;Isaiah Collier;Kyle Filipowski;Keyonte George;Elijah Harkless;Taylor Hendricks;Walker Kessler;Kevin Love;Lauri Markkanen;KJ Martin;Svi Mykhailiuk;Jusuf Nurkic;Micah PotterBrice Sensabaugh;Collin Sexton;John Tonje;Oscar Tshiebwe;Cody Williams
